[00:00.000 --> 00:12.320]  안녕하십니까. 강의 시작하겠습니다.
[29:55.880 --> 30:03.640]  레인포스모드 러닝을 썼다고 하는데 거기에 또 컨볼루션 뉴럴레터 어플을 썼다고 나오거든요

[30:03.640 --> 30:14.200]  그러면 조금 헷갈려요. 처음에 논문을 읽을 때 분명히 그 알파고는 레인포스모드 러닝을 썼다고 하는데 컨볼루션 뉴럴레터 어플이 나오니까

[30:14.200 --> 30:22.600]  조금 헷갈릴 수도 있는데 컨볼루션 뉴럴레터 어플은 이 Environment를 구성할 때 사용을 합니다.

[30:22.600 --> 30:31.480]  보통 학습을 구성할 때 이런 리워드 설계도 중요하지만 Environment, 현실을 대변하는 환경 구성이 정말 중요한데

[30:31.480 --> 30:40.920]  그 환경 구성을 하는게 시뮬레이터라고 하고 그 시뮬레이터로 컨볼루션 뉴럴레터 어플을 쓴게 알파고의 모델이라고 생각하시면 됩니다.

[30:41.080 --> 30:49.400]  게임으로 예를 들면, 그래서 이게 보통 강학습하면 게임을 예로 많이 들거든요

[30:49.400 --> 30:56.680]  어떤 게임을 했을 때, 왜냐하면 아까 말씀드렸듯이 이런 Environment 구성이 게임이 조금 구성하기가 편해서

[30:56.680 --> 31:03.800]  보통 모든 강학습의 프레임워크나 아니면은 이 기생플로 나온 것은 다 게임이라고 생각하시면 되요.

[31:03.800 --> 31:09.720]  그래서 이런 Environment 구성이 게임이 좀 편하기 때문에 이런식으로 게임일제가 많은데

[31:09.720 --> 31:18.120]  그래서 어떤 액션 그러니까 위아래 혹은 앞뒤 이런식으로 조이스틱으로 움직일 때가 액션이라고 하면은

[31:18.200 --> 31:28.360]  액션에 따른 화면에 이런 공룡인가 비행기가 왔다갔다 할 때의 점수를 리워드라고 생각하시면

[31:28.360 --> 31:38.360]  비행기가 왔다갔다 하는게 이런 액션을 주었을 때의 Environment에 변하고 Environment가 변했을 때의 점수가 리워드라고 생각하시면 됩니다.

[31:38.360 --> 31:49.400]  그래서 이런 리워드를 계속 맥시마이저 하는 방향으로 이런 프레임워크가 계속 학습을 하는거고, 이거를 강학습이라고 생각하시면 됩니다.

[31:49.400 --> 32:02.040]  그 알고리즘이 DQN인데, 이거는 제가 강학습 수업을 할 때 자세히 설명드리도록 하겠습니다.

[32:02.080 --> 32:10.560]  보통 강학습에서 정말 대표되는 알고리즘이 DQN, DDPG 이런식으로 있는데 이게 DQN이

[32:10.560 --> 32:20.840]  그냥 정말 베이직한 개념은 그거에요. 그 리워드를 계속 맥시마이저하게 하는 학습법이라고 생각하시면 됩니다.

[32:21.680 --> 32:25.720]  이거는 강학습에 대한 프로젝트였는데

[32:26.680 --> 32:38.800]  이게 제가 설비쪽 제어 쪽에 지금 많이 포커스해서 과제를 수행했었기 때문에 설비쪽 제어 쪽을 자세히 모르시면

[32:38.800 --> 32:46.600]  제가 한번 보충설명을 할 자료나 강의를 하나 더 진행을 하도록 하겠습니다.

[32:46.600 --> 32:58.080]  아무튼 이 설비쪽에서 보통 PID 제어를 하는데, 이 PID 제어가 뭐냐면 Proportional Integral Derivate 제어라고 하는데

[32:58.080 --> 33:05.520]  이게 뭐 한국말로 하면 비례적품미분제어 이런식으로 생각하시면 되는데

[33:05.520 --> 33:11.360]  보통 벨브나 펌프나 팬이나 전부 PID 제어가 기본 제어로 깔려 있습니다.

[33:11.360 --> 33:15.760]  근데 이 PID 제어는

[33:16.880 --> 33:24.680]  이런식으로 KP, KI, KD라는 상수텀을 가지고 있는 식입니다.

[33:24.680 --> 33:34.360]  근데 이 상수텀은 건물 초기에 임해 관리자가 KP, KI, KD값을 정해놓고 가거든요.

[33:34.360 --> 33:45.080]  근데 이 KP, KI, KD값은 정말 0에서 10,000가지 숫자가 다양해요. 근데 이 다양한 값들을 관리자는 당연히 다 찾을 수 없고

[33:45.080 --> 33:53.160]  그리고 변화하는 환경과 변화하는 부하에 대해서 이 식은 잘 제어를 할 수가 없는 구조에요.

[33:53.160 --> 34:01.880]  그래서 이 KP, KI, KD를 인공지능으로 찾아보자는게 이 프로젝트의 목표였고

[34:02.200 --> 34:11.560]  KP, KI, KD만 찾으면 되는게 아니고 이 플랜트 프로세스 그러니까 건물은 건물의 제어 방법이죠.

[34:11.560 --> 34:20.760]  이 건물을 제어했을 때 환경에 따른 KP, KI, KD가 정말 중요하기 때문에 KP, KI, KD를 맞춘다고 해서

[34:20.760 --> 34:29.160]  건물을 제대로 제어하는 것도 아니고 변화하는 플랜트 프로세스를 또 반영해서 KP, KI, KD를 찾아야 되기 때문에

[34:29.160 --> 34:39.640]  이 KP, KI, KD값은 정말 어마어마하죠. 그래서 이걸 관리자들이 잘 못찾고 당연히 그냥 default한 값을 넣는 경우가 정말 많은데

[34:39.640 --> 34:44.040]  음 그래서 이거를 방학습으로

[34:45.200 --> 34:55.520]  프로젝트를 수행한 경우고 이 아까 말씀드렸던 리워드에 해당하는 것은 만약에 온도라고 생각하시면 이 온도편차를 최소화하는

[34:55.520 --> 35:04.440]  그러니까 온도편차를 최소화하는게 어떻게 보면은 리워드를 맥시마이징 하는거죠. 저희는 온도를 잘 맞추기 위해서 PID를 쓰는거고

[35:04.440 --> 35:13.960]  PID에 KP, KI, KD를 찾는건데 이 온도를 잘 맞추는거니까 리워드를 맥시마이징 하는 방향으로 계속 학습을 하면서

[35:13.960 --> 35:20.360]  KP, KI, KD를 찾는 프로젝트가 이번 프로젝트였습니다.

[35:20.400 --> 35:32.560]  그래서 결과로 실제 결과는 이제 예를 들면 이런식으로 실제로는 PID값을 넣었을때 실제 기존에 KP, KI, KD를 넣었을때는 이런 값인데

[35:32.560 --> 35:39.080]  이제 이런 방학습으로 찾은 KP, KI, KD를 넣었을때는 이런식으로 엄청 잘 맞는 경우가 나옵니다.

[35:39.080 --> 35:49.120]  이게 온도만 잘 맞추면 되는게 아니고 벨브값도 처음에는 막 이런식으로 그냥 엄청 많은 양의 가스가 이렇게 분출되게

[35:49.120 --> 35:54.960]  벨브가 크게 이렇게 움직이는데 저희같은 경우에는 이런식으로

[35:54.960 --> 36:02.480]  궤도율도 작고 이제 가스 배출량도 작게 하면서 에너지를 세이빙하는 그런 과제입니다.

[36:05.800 --> 36:12.840]  이제 프로젝트랑 슈퍼바이즈 러닝 1, 슈퍼바이즈 러닝, 레인포스먼트 러닝에 대한 설명을 간단하게 마쳤고

[36:12.840 --> 36:21.400]  팔선, 넌파이랑 판다스, 그리고 사이클런을 진행하면서 좀 더 자세한 설명을 드리도록 하고

[36:21.400 --> 36:28.840]  그 모듈을 들어가기 앞서 제가 혹시나 넌파이랑 판다스를 설명할 때 리그레이션이나 클래시피케이션이나

[36:28.840 --> 36:34.560]  그리고 슈퍼바이즈 러닝이나 듀얼 레이터 이런식으로 제가

[36:34.560 --> 36:40.280]  사전 학습이 없는 상태에서 말을 할 수도 있기 때문에 이렇게 강의를 좀 조정을 했구요

[36:40.280 --> 36:45.960]  그리고 모델이나 알고리즘을 선택할 때

[36:46.080 --> 36:52.280]  여기도 나오죠. 만약에 클래시피케이션이면 범주를 예측하거나 리그레이션이면 숫자 예측, 숫자 예측이라는게

[36:52.280 --> 36:59.480]  그 아까도 말씀드렸듯이 어떤 경향성을 보이거나 프레딕션을 할 때 보통은 다 리그레이션이라고 생각하시면 됩니다.

[36:59.480 --> 37:04.840]  클래시피케이션은 범주라고 하는게 남녀 혹은

[37:04.840 --> 37:14.440]  오엑스 이런식으로 아니면 1집단, 2집단, 3집단 이런식으로 범주를 예측할 때 클래시피케이션이라고 생각하시면 되고

[37:14.440 --> 37:20.840]  클래시피케이션이랑 리그레이션은 정말 비슷한데 로스펑션 그러니까

[37:20.840 --> 37:29.200]  학습을 할 때 로스펑션을 정의해주는 경우가 있는데 이 로스펑션만 조금 바꿔주면 이 두가지의 모델은

[37:29.200 --> 37:35.840]  그리고 클러스터링은 아까도 말씀드렸듯이 군집에 대한 결과를 나타내거나 혹은

[37:35.840 --> 37:45.440]  레이블이 없는 데이터를 수행할 때 클러스터링을 많이 씁니다. 아, Unsupervised learning을 많이 씁니다.

[37:46.120 --> 37:52.280]  모델평가는 보통 이런식으로 쓰는데 정말 이거는

[37:52.280 --> 38:03.480]  타임 시리즈 데이터는 Naive라고 이런식의 결과를 나타내는 펑션을 쓰는데 그냥 이런거 다 무시하시고 예를 들면

[38:03.480 --> 38:12.200]  실제 데이터가 이건데 만약에 저희가 리그레이션으로 찾은 함수값이 이거에요. 그러면 이 오차는

[38:12.200 --> 38:20.320]  이 점과 이 펑션의 거리에 제곱에 루트를 씌우거나 제곱에 합을 하거나

[38:20.320 --> 38:30.800]  이런식으로 해서 하는게 지금 이 얘기입니다. 그래서 민스쿄어 데이터나 루트 민스쿄어 데이터는 한번 구글링을 해보셔서 어떤 의미인지

[38:30.800 --> 38:38.960]  찾으면 됩니다. 그냥 간단하게 진짜 실제 데이터와 저희가 예측한 데이터의 차이를 이런식으로 나타내니깐

[38:38.960 --> 38:43.520]  어떤걸 쓰셔도 사실은 상관은 없어요. 근데

[38:44.520 --> 38:54.640]  이런 타임 시리즈라는 데이터는 사실 저는 MAP를 많이 쓰긴 하지만

[38:54.640 --> 39:02.880]  보통 MSE나 RMSE를 써도 상관없습니다. 그러니까 이런 모델 평가에 대한 펑션은 사실

[39:02.880 --> 39:11.640]  용어가 다르고 또 수식도 다르지만 어떻게 보면 하나의 텀으로 수렴이 되거든요. 그냥 실제 데이터와 예측한 데이터의 차이

[39:11.680 --> 39:14.920]  이런식으로 생각을 하시면 됩니다.

[39:18.400 --> 39:27.080]  오늘 수업은 여기서 마치는데 질문이 있거나 그리고 또 제가 좀 더 추가적으로 설명해야 될 것은

[39:27.080 --> 39:29.720]  논문이나

[39:30.400 --> 39:38.200]  아니면 짤막한 강의 자료로 올리면서 보충을 해드리도록 하겠습니다.

[39:38.200 --> 39:42.120]  오늘 수업은 여기서 마치겠습니다. 감사합니다.
